epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,621.063,0.52056,0.83106,0.94011,0.85833,0.94983,0.94439,0.79988,0.54041,0.59639,0.91344,7.8419e-05,7.8419e-05,7.8419e-05
31,641.283,0.493,0.81234,0.89475,0.88601,0.95421,0.94988,0.82174,0.50641,0.53729,0.89959,7.733e-05,7.733e-05,7.733e-05
32,659.579,0.46025,0.79252,0.88658,0.93372,0.90436,0.94991,0.81439,0.53271,0.56515,0.90739,7.6241e-05,7.6241e-05,7.6241e-05
33,677.472,0.48303,0.79513,0.89456,0.88986,0.96718,0.94542,0.82291,0.50912,0.54262,0.90348,7.5152e-05,7.5152e-05,7.5152e-05
34,696.201,0.43763,0.7783,0.88239,0.91852,0.92946,0.95361,0.81454,0.52709,0.54665,0.91535,7.4063e-05,7.4063e-05,7.4063e-05
35,714.975,0.4661,0.75381,0.91175,0.91677,0.89461,0.94021,0.79876,0.51856,0.55854,0.90584,7.2974e-05,7.2974e-05,7.2974e-05
36,737.064,0.44408,0.74813,0.88612,0.88737,0.92743,0.95025,0.82308,0.49484,0.55212,0.89256,7.1885e-05,7.1885e-05,7.1885e-05
37,776.781,0.42773,0.72285,0.88188,0.90349,0.9633,0.95478,0.82869,0.48496,0.50572,0.89139,7.0796e-05,7.0796e-05,7.0796e-05
38,817.663,0.44071,0.71523,0.8833,0.94142,0.91606,0.95611,0.83228,0.49725,0.52147,0.89627,6.9707e-05,6.9707e-05,6.9707e-05
39,859.897,0.4222,0.70716,0.87593,0.90388,0.9357,0.94384,0.79648,0.54079,0.53132,0.91212,6.8618e-05,6.8618e-05,6.8618e-05
40,904.281,0.44726,0.70599,0.8863,0.9189,0.92207,0.95764,0.81549,0.52901,0.52495,0.90546,6.7529e-05,6.7529e-05,6.7529e-05
41,945.485,0.46267,0.70814,0.89417,0.94557,0.93188,0.96724,0.81732,0.5306,0.49616,0.91229,6.644e-05,6.644e-05,6.644e-05
42,989.699,0.44695,0.69224,0.89122,0.91347,0.92257,0.95501,0.81911,0.51383,0.52161,0.89771,6.5351e-05,6.5351e-05,6.5351e-05
43,1015.4,0.42842,0.68878,0.8802,0.91227,0.93383,0.95439,0.83776,0.48904,0.50497,0.88943,6.4262e-05,6.4262e-05,6.4262e-05
44,1034.1,0.42278,0.66286,0.86495,0.92257,0.96877,0.96423,0.83405,0.49394,0.48729,0.89283,6.3173e-05,6.3173e-05,6.3173e-05
45,1067,0.41161,0.67291,0.87524,0.91287,0.93267,0.94321,0.81164,0.50699,0.5149,0.8957,6.2084e-05,6.2084e-05,6.2084e-05
46,1098.85,0.39979,0.64913,0.87247,0.88836,0.96655,0.95577,0.82627,0.48094,0.48021,0.89736,6.0995e-05,6.0995e-05,6.0995e-05
47,1123.4,0.40024,0.64748,0.8798,0.91738,0.94861,0.94823,0.8256,0.49068,0.50846,0.89198,5.9906e-05,5.9906e-05,5.9906e-05
48,1146.25,0.39948,0.63077,0.86293,0.93021,0.92721,0.94835,0.8225,0.51534,0.51006,0.8951,5.8817e-05,5.8817e-05,5.8817e-05
49,1186.11,0.41409,0.63554,0.86719,0.89891,0.96012,0.95854,0.83557,0.48202,0.48867,0.88695,5.7728e-05,5.7728e-05,5.7728e-05
50,1204.32,0.39703,0.61544,0.86732,0.9186,0.9249,0.94877,0.82235,0.48684,0.51294,0.89418,5.6639e-05,5.6639e-05,5.6639e-05
51,1230.05,0.39051,0.61541,0.85211,0.90909,0.94133,0.94795,0.82887,0.47102,0.48753,0.88866,5.555e-05,5.555e-05,5.555e-05
52,1256,0.38773,0.61207,0.86193,0.89536,0.92976,0.95053,0.83549,0.46757,0.50171,0.87896,5.4461e-05,5.4461e-05,5.4461e-05
53,1296.84,0.38721,0.60197,0.86329,0.91387,0.93978,0.96682,0.84498,0.46612,0.47212,0.87715,5.3372e-05,5.3372e-05,5.3372e-05
54,1319.27,0.39482,0.59603,0.87425,0.91709,0.92844,0.95291,0.84055,0.47708,0.50513,0.88851,5.2283e-05,5.2283e-05,5.2283e-05
55,1344.64,0.37673,0.58148,0.85115,0.8904,0.96045,0.95362,0.83258,0.47684,0.46902,0.89296,5.1194e-05,5.1194e-05,5.1194e-05
56,1368.68,0.37949,0.58344,0.86616,0.92617,0.92784,0.95452,0.84058,0.47034,0.46675,0.88682,5.0105e-05,5.0105e-05,5.0105e-05
57,1392.36,0.36623,0.5703,0.85324,0.93106,0.94101,0.94783,0.82963,0.46787,0.46482,0.88764,4.9016e-05,4.9016e-05,4.9016e-05
58,1417.69,0.36942,0.57922,0.85392,0.91311,0.96834,0.95771,0.83772,0.46177,0.44395,0.88521,4.7927e-05,4.7927e-05,4.7927e-05
59,1444.65,0.37249,0.5625,0.86599,0.92634,0.93819,0.95301,0.83271,0.47319,0.47444,0.88818,4.6838e-05,4.6838e-05,4.6838e-05
60,1467.74,0.35851,0.55657,0.84022,0.92677,0.93594,0.94847,0.83304,0.47328,0.4768,0.89365,4.5749e-05,4.5749e-05,4.5749e-05
61,1486.18,0.36318,0.56511,0.86139,0.90794,0.9417,0.94075,0.82557,0.46333,0.47192,0.88955,4.466e-05,4.466e-05,4.466e-05
62,1507.39,0.355,0.54755,0.85407,0.92723,0.93842,0.94609,0.82721,0.46775,0.48416,0.89026,4.3571e-05,4.3571e-05,4.3571e-05
63,1529.75,0.34488,0.54369,0.85604,0.92532,0.93405,0.94857,0.84031,0.4638,0.47774,0.88629,4.2482e-05,4.2482e-05,4.2482e-05
64,1561,0.35141,0.53655,0.85242,0.90398,0.95211,0.94939,0.8338,0.47213,0.4787,0.88647,4.1393e-05,4.1393e-05,4.1393e-05
65,1584.55,0.35976,0.54061,0.85342,0.93368,0.93628,0.95038,0.8317,0.46221,0.4743,0.88145,4.0304e-05,4.0304e-05,4.0304e-05
66,1607.24,0.34677,0.52412,0.84068,0.92625,0.93813,0.95075,0.83466,0.45953,0.46815,0.88809,3.9215e-05,3.9215e-05,3.9215e-05
67,1629.63,0.35017,0.52349,0.84679,0.9367,0.93775,0.95332,0.83602,0.46047,0.45567,0.8865,3.8126e-05,3.8126e-05,3.8126e-05
